variant_id,suite,role,legal_path_normalized_gap,A_first_return,B_first_return,alternate_path_negative_rate,forward_positive_rate,reward_nonzero_rate,failure_negative_rate,recovery_positive_rate,recovery_positive_weight_coverage,recovery_cycle_nonpositive_rate,positive_loop_rate,loop_return_mean,recovery_overshoot_rate,success_return_spearman,success_minus_failure_return_margin,fixed_order_score_drop,within_node_reward_density,provenance
no_phi,stage3_diagnostic,ablation_or_probe,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.5,0.2,0.0,0.4,
no_phi,oracle_trace_bank,ablation_or_probe,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.5,0.2,0.0,0.4,
cost_only,real_val,ablation_or_probe,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.4132435773575912,6.91e-05,0.0,0.2,
cost_only,real_test,ablation_or_probe,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.4132435773575912,6.91e-05,0.0,0.2,
cost_only,stage3_diagnostic,ablation_or_probe,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.4132435773575912,6.91e-05,0.0,0.2,
cost_only,oracle_trace_bank,ablation_or_probe,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,0.0,0.0,0.4132435773575912,6.91e-05,0.0,0.2,
eta_probe_0.00,real_val,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.00,real_test,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.00,stage3_diagnostic,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.00,oracle_trace_bank,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.0,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.05,real_val,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.005000000000000001,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.05,real_test,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.005000000000000001,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.05,stage3_diagnostic,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.005000000000000001,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.05,oracle_trace_bank,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.005000000000000001,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.10,real_val,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.010000000000000002,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.10,real_test,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.010000000000000002,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.10,stage3_diagnostic,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.010000000000000002,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.10,oracle_trace_bank,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.010000000000000002,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
eta_probe_0.25,real_val,posthoc_probe_not_main,0.0,1.0,1.0,1.0,0.65,0.8177117000646412,0.7857142857142857,0.75,0.75,1.0,0.0,-0.025,0.0,0.5651310178784871,0.2652299806061711,0.0,0.5,
