cut,passed,kind,episode_id
18,True,PREFIX,probe_p0.2_k8_unwindFalse
19,True,PREFIX,probe_p0.2_k8_unwindFalse
20,True,PREFIX,probe_p0.2_k8_unwindFalse
23,True,PREFIX,probe_p0.2_k8_unwindFalse
24,True,PREFIX,probe_p0.2_k8_unwindFalse
25,True,PREFIX,probe_p0.2_k8_unwindFalse
28,True,PREFIX,probe_p0.2_k8_unwindFalse
29,True,PREFIX,probe_p0.2_k8_unwindFalse
30,True,PREFIX,probe_p0.2_k8_unwindFalse
33,True,PREFIX,probe_p0.2_k8_unwindFalse
34,True,PREFIX,probe_p0.2_k8_unwindFalse
35,True,PREFIX,probe_p0.2_k8_unwindFalse
38,True,PREFIX,probe_p0.2_k8_unwindFalse
39,True,PREFIX,probe_p0.2_k8_unwindFalse
40,True,PREFIX,probe_p0.2_k8_unwindFalse
41,True,PREFIX,probe_p0.2_k8_unwindFalse
20,True,FUTURE_GEOMETRY_MUTATION,probe_p0.2_k8_unwindFalse
2,True,PREFIX,probe_p0.2_k8_unwindTrue
4,True,PREFIX,probe_p0.2_k8_unwindTrue
5,True,PREFIX,probe_p0.2_k8_unwindTrue
6,True,PREFIX,probe_p0.2_k8_unwindTrue
10,True,PREFIX,probe_p0.2_k8_unwindTrue
11,True,PREFIX,probe_p0.2_k8_unwindTrue
12,True,PREFIX,probe_p0.2_k8_unwindTrue
16,True,PREFIX,probe_p0.2_k8_unwindTrue
17,True,PREFIX,probe_p0.2_k8_unwindTrue
18,True,PREFIX,probe_p0.2_k8_unwindTrue
22,True,PREFIX,probe_p0.2_k8_unwindTrue
23,True,PREFIX,probe_p0.2_k8_unwindTrue
24,True,PREFIX,probe_p0.2_k8_unwindTrue
28,True,PREFIX,probe_p0.2_k8_unwindTrue
29,True,PREFIX,probe_p0.2_k8_unwindTrue
30,True,PREFIX,probe_p0.2_k8_unwindTrue
34,True,PREFIX,probe_p0.2_k8_unwindTrue
35,True,PREFIX,probe_p0.2_k8_unwindTrue
36,True,PREFIX,probe_p0.2_k8_unwindTrue
40,True,PREFIX,probe_p0.2_k8_unwindTrue
41,True,PREFIX,probe_p0.2_k8_unwindTrue
42,True,PREFIX,probe_p0.2_k8_unwindTrue
46,True,PREFIX,probe_p0.2_k8_unwindTrue
47,True,PREFIX,probe_p0.2_k8_unwindTrue
48,True,PREFIX,probe_p0.2_k8_unwindTrue
49,True,PREFIX,probe_p0.2_k8_unwindTrue
24,True,FUTURE_GEOMETRY_MUTATION,probe_p0.2_k8_unwindTrue
2,True,PREFIX,probe_p0.4_k1_unwindFalse
3,True,PREFIX,probe_p0.4_k1_unwindFalse
4,True,PREFIX,probe_p0.4_k1_unwindFalse
5,True,PREFIX,probe_p0.4_k1_unwindFalse
6,True,PREFIX,probe_p0.4_k1_unwindFalse
3,True,FUTURE_GEOMETRY_MUTATION,probe_p0.4_k1_unwindFalse
2,True,PREFIX,probe_p0.4_k1_unwindTrue
3,True,PREFIX,probe_p0.4_k1_unwindTrue
4,True,PREFIX,probe_p0.4_k1_unwindTrue
5,True,PREFIX,probe_p0.4_k1_unwindTrue
6,True,PREFIX,probe_p0.4_k1_unwindTrue
7,True,PREFIX,probe_p0.4_k1_unwindTrue
3,True,FUTURE_GEOMETRY_MUTATION,probe_p0.4_k1_unwindTrue
2,True,PREFIX,probe_p0.4_k3_unwindFalse
3,True,PREFIX,probe_p0.4_k3_unwindFalse
4,True,PREFIX,probe_p0.4_k3_unwindFalse
5,True,PREFIX,probe_p0.4_k3_unwindFalse
8,True,PREFIX,probe_p0.4_k3_unwindFalse
9,True,PREFIX,probe_p0.4_k3_unwindFalse
10,True,PREFIX,probe_p0.4_k3_unwindFalse
12,True,PREFIX,probe_p0.4_k3_unwindFalse
13,True,PREFIX,probe_p0.4_k3_unwindFalse
14,True,PREFIX,probe_p0.4_k3_unwindFalse
15,True,PREFIX,probe_p0.4_k3_unwindFalse
16,True,PREFIX,probe_p0.4_k3_unwindFalse
8,True,FUTURE_GEOMETRY_MUTATION,probe_p0.4_k3_unwindFalse
2,True,PREFIX,probe_p0.4_k3_unwindTrue
4,True,PREFIX,probe_p0.4_k3_unwindTrue
5,True,PREFIX,probe_p0.4_k3_unwindTrue
6,True,PREFIX,probe_p0.4_k3_unwindTrue
9,True,PREFIX,probe_p0.4_k3_unwindTrue
10,True,PREFIX,probe_p0.4_k3_unwindTrue
11,True,PREFIX,probe_p0.4_k3_unwindTrue
12,True,PREFIX,probe_p0.4_k3_unwindTrue
14,True,PREFIX,probe_p0.4_k3_unwindTrue
16,True,PREFIX,probe_p0.4_k3_unwindTrue
17,True,PREFIX,probe_p0.4_k3_unwindTrue
18,True,PREFIX,probe_p0.4_k3_unwindTrue
19,True,PREFIX,probe_p0.4_k3_unwindTrue
9,True,FUTURE_GEOMETRY_MUTATION,probe_p0.4_k3_unwindTrue
2,True,PREFIX,probe_p0.4_k8_unwindFalse
3,True,PREFIX,probe_p0.4_k8_unwindFalse
4,True,PREFIX,probe_p0.4_k8_unwindFalse
5,True,PREFIX,probe_p0.4_k8_unwindFalse
8,True,PREFIX,probe_p0.4_k8_unwindFalse
9,True,PREFIX,probe_p0.4_k8_unwindFalse
10,True,PREFIX,probe_p0.4_k8_unwindFalse
13,True,PREFIX,probe_p0.4_k8_unwindFalse
14,True,PREFIX,probe_p0.4_k8_unwindFalse
15,True,PREFIX,probe_p0.4_k8_unwindFalse
18,True,PREFIX,probe_p0.4_k8_unwindFalse
19,True,PREFIX,probe_p0.4_k8_unwindFalse
20,True,PREFIX,probe_p0.4_k8_unwindFalse
23,True,PREFIX,probe_p0.4_k8_unwindFalse
24,True,PREFIX,probe_p0.4_k8_unwindFalse
25,True,PREFIX,probe_p0.4_k8_unwindFalse
28,True,PREFIX,probe_p0.4_k8_unwindFalse
29,True,PREFIX,probe_p0.4_k8_unwindFalse
30,True,PREFIX,probe_p0.4_k8_unwindFalse
33,True,PREFIX,probe_p0.4_k8_unwindFalse
34,True,PREFIX,probe_p0.4_k8_unwindFalse
35,True,PREFIX,probe_p0.4_k8_unwindFalse
38,True,PREFIX,probe_p0.4_k8_unwindFalse
39,True,PREFIX,probe_p0.4_k8_unwindFalse
40,True,PREFIX,probe_p0.4_k8_unwindFalse
41,True,PREFIX,probe_p0.4_k8_unwindFalse
20,True,FUTURE_GEOMETRY_MUTATION,probe_p0.4_k8_unwindFalse
2,True,PREFIX,probe_p0.4_k8_unwindTrue
4,True,PREFIX,probe_p0.4_k8_unwindTrue
5,True,PREFIX,probe_p0.4_k8_unwindTrue
6,True,PREFIX,probe_p0.4_k8_unwindTrue
10,True,PREFIX,probe_p0.4_k8_unwindTrue
11,True,PREFIX,probe_p0.4_k8_unwindTrue
12,True,PREFIX,probe_p0.4_k8_unwindTrue
16,True,PREFIX,probe_p0.4_k8_unwindTrue
17,True,PREFIX,probe_p0.4_k8_unwindTrue
18,True,PREFIX,probe_p0.4_k8_unwindTrue
22,True,PREFIX,probe_p0.4_k8_unwindTrue
23,True,PREFIX,probe_p0.4_k8_unwindTrue
24,True,PREFIX,probe_p0.4_k8_unwindTrue
28,True,PREFIX,probe_p0.4_k8_unwindTrue
29,True,PREFIX,probe_p0.4_k8_unwindTrue
30,True,PREFIX,probe_p0.4_k8_unwindTrue
34,True,PREFIX,probe_p0.4_k8_unwindTrue
35,True,PREFIX,probe_p0.4_k8_unwindTrue
36,True,PREFIX,probe_p0.4_k8_unwindTrue
40,True,PREFIX,probe_p0.4_k8_unwindTrue
41,True,PREFIX,probe_p0.4_k8_unwindTrue
42,True,PREFIX,probe_p0.4_k8_unwindTrue
46,True,PREFIX,probe_p0.4_k8_unwindTrue
47,True,PREFIX,probe_p0.4_k8_unwindTrue
48,True,PREFIX,probe_p0.4_k8_unwindTrue
49,True,PREFIX,probe_p0.4_k8_unwindTrue
24,True,FUTURE_GEOMETRY_MUTATION,probe_p0.4_k8_unwindTrue
2,True,PREFIX,probe_p0.8_k1_unwindFalse
3,True,PREFIX,probe_p0.8_k1_unwindFalse
4,True,PREFIX,probe_p0.8_k1_unwindFalse
5,True,PREFIX,probe_p0.8_k1_unwindFalse
6,True,PREFIX,probe_p0.8_k1_unwindFalse
3,True,FUTURE_GEOMETRY_MUTATION,probe_p0.8_k1_unwindFalse
2,True,PREFIX,probe_p0.8_k1_unwindTrue
3,True,PREFIX,probe_p0.8_k1_unwindTrue
4,True,PREFIX,probe_p0.8_k1_unwindTrue
5,True,PREFIX,probe_p0.8_k1_unwindTrue
6,True,PREFIX,probe_p0.8_k1_unwindTrue
7,True,PREFIX,probe_p0.8_k1_unwindTrue
3,True,FUTURE_GEOMETRY_MUTATION,probe_p0.8_k1_unwindTrue
2,True,PREFIX,probe_p0.8_k3_unwindFalse
3,True,PREFIX,probe_p0.8_k3_unwindFalse
4,True,PREFIX,probe_p0.8_k3_unwindFalse
5,True,PREFIX,probe_p0.8_k3_unwindFalse
8,True,PREFIX,probe_p0.8_k3_unwindFalse
9,True,PREFIX,probe_p0.8_k3_unwindFalse
10,True,PREFIX,probe_p0.8_k3_unwindFalse
12,True,PREFIX,probe_p0.8_k3_unwindFalse
13,True,PREFIX,probe_p0.8_k3_unwindFalse
14,True,PREFIX,probe_p0.8_k3_unwindFalse
15,True,PREFIX,probe_p0.8_k3_unwindFalse
16,True,PREFIX,probe_p0.8_k3_unwindFalse
8,True,FUTURE_GEOMETRY_MUTATION,probe_p0.8_k3_unwindFalse
2,True,PREFIX,probe_p0.8_k3_unwindTrue
4,True,PREFIX,probe_p0.8_k3_unwindTrue
5,True,PREFIX,probe_p0.8_k3_unwindTrue
6,True,PREFIX,probe_p0.8_k3_unwindTrue
9,True,PREFIX,probe_p0.8_k3_unwindTrue
10,True,PREFIX,probe_p0.8_k3_unwindTrue
11,True,PREFIX,probe_p0.8_k3_unwindTrue
12,True,PREFIX,probe_p0.8_k3_unwindTrue
14,True,PREFIX,probe_p0.8_k3_unwindTrue
16,True,PREFIX,probe_p0.8_k3_unwindTrue
17,True,PREFIX,probe_p0.8_k3_unwindTrue
18,True,PREFIX,probe_p0.8_k3_unwindTrue
19,True,PREFIX,probe_p0.8_k3_unwindTrue
9,True,FUTURE_GEOMETRY_MUTATION,probe_p0.8_k3_unwindTrue
2,True,PREFIX,probe_p0.8_k8_unwindFalse
3,True,PREFIX,probe_p0.8_k8_unwindFalse
4,True,PREFIX,probe_p0.8_k8_unwindFalse
5,True,PREFIX,probe_p0.8_k8_unwindFalse
8,True,PREFIX,probe_p0.8_k8_unwindFalse
9,True,PREFIX,probe_p0.8_k8_unwindFalse
10,True,PREFIX,probe_p0.8_k8_unwindFalse
13,True,PREFIX,probe_p0.8_k8_unwindFalse
14,True,PREFIX,probe_p0.8_k8_unwindFalse
15,True,PREFIX,probe_p0.8_k8_unwindFalse
18,True,PREFIX,probe_p0.8_k8_unwindFalse
19,True,PREFIX,probe_p0.8_k8_unwindFalse
20,True,PREFIX,probe_p0.8_k8_unwindFalse
23,True,PREFIX,probe_p0.8_k8_unwindFalse
24,True,PREFIX,probe_p0.8_k8_unwindFalse
25,True,PREFIX,probe_p0.8_k8_unwindFalse
28,True,PREFIX,probe_p0.8_k8_unwindFalse
29,True,PREFIX,probe_p0.8_k8_unwindFalse
30,True,PREFIX,probe_p0.8_k8_unwindFalse
33,True,PREFIX,probe_p0.8_k8_unwindFalse
34,True,PREFIX,probe_p0.8_k8_unwindFalse
35,True,PREFIX,probe_p0.8_k8_unwindFalse
38,True,PREFIX,probe_p0.8_k8_unwindFalse
39,True,PREFIX,probe_p0.8_k8_unwindFalse
40,True,PREFIX,probe_p0.8_k8_unwindFalse
41,True,PREFIX,probe_p0.8_k8_unwindFalse
20,True,FUTURE_GEOMETRY_MUTATION,probe_p0.8_k8_unwindFalse
2,True,PREFIX,probe_p0.8_k8_unwindTrue
4,True,PREFIX,probe_p0.8_k8_unwindTrue
5,True,PREFIX,probe_p0.8_k8_unwindTrue
6,True,PREFIX,probe_p0.8_k8_unwindTrue
10,True,PREFIX,probe_p0.8_k8_unwindTrue
11,True,PREFIX,probe_p0.8_k8_unwindTrue
12,True,PREFIX,probe_p0.8_k8_unwindTrue
16,True,PREFIX,probe_p0.8_k8_unwindTrue
17,True,PREFIX,probe_p0.8_k8_unwindTrue
18,True,PREFIX,probe_p0.8_k8_unwindTrue
22,True,PREFIX,probe_p0.8_k8_unwindTrue
23,True,PREFIX,probe_p0.8_k8_unwindTrue
24,True,PREFIX,probe_p0.8_k8_unwindTrue
28,True,PREFIX,probe_p0.8_k8_unwindTrue
29,True,PREFIX,probe_p0.8_k8_unwindTrue
30,True,PREFIX,probe_p0.8_k8_unwindTrue
34,True,PREFIX,probe_p0.8_k8_unwindTrue
35,True,PREFIX,probe_p0.8_k8_unwindTrue
36,True,PREFIX,probe_p0.8_k8_unwindTrue
40,True,PREFIX,probe_p0.8_k8_unwindTrue
41,True,PREFIX,probe_p0.8_k8_unwindTrue
42,True,PREFIX,probe_p0.8_k8_unwindTrue
46,True,PREFIX,probe_p0.8_k8_unwindTrue
47,True,PREFIX,probe_p0.8_k8_unwindTrue
48,True,PREFIX,probe_p0.8_k8_unwindTrue
49,True,PREFIX,probe_p0.8_k8_unwindTrue
24,True,FUTURE_GEOMETRY_MUTATION,probe_p0.8_k8_unwindTrue
2,True,PREFIX,dual_AB
3,True,PREFIX,dual_AB
2,True,FUTURE_GEOMETRY_MUTATION,dual_AB
2,True,PREFIX,dual_AB_loss
3,True,PREFIX,dual_AB_loss
4,True,PREFIX,dual_AB_loss
5,True,PREFIX,dual_AB_loss
6,True,PREFIX,dual_AB_loss
7,True,PREFIX,dual_AB_loss
3,True,FUTURE_GEOMETRY_MUTATION,dual_AB_loss
2,True,PREFIX,dual_BA
3,True,PREFIX,dual_BA
2,True,FUTURE_GEOMETRY_MUTATION,dual_BA
2,True,PREFIX,dual_BA_loss
3,True,PREFIX,dual_BA_loss
4,True,PREFIX,dual_BA_loss
5,True,PREFIX,dual_BA_loss
6,True,PREFIX,dual_BA_loss
7,True,PREFIX,dual_BA_loss
3,True,FUTURE_GEOMETRY_MUTATION,dual_BA_loss
