job_id	task_id	condition	method	policy_seed	rollout_start	rollout_count	output_dir	command
transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r000	transport_recovery	gripper_reopen	linear_sarm_equiv	20260912	0	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r000	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition gripper_reopen --method linear_sarm_equiv --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260912/checkpoints/best_val.pt --checkpoint-sha256 148ba1c81667d292ed2e10f7b990944a854352c7e16f6184c1f044db169d0cf7 --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 0 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r000/rollouts.csv --device cuda:0"
transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r010	transport_recovery	gripper_reopen	linear_sarm_equiv	20260912	10	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r010	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition gripper_reopen --method linear_sarm_equiv --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260912/checkpoints/best_val.pt --checkpoint-sha256 148ba1c81667d292ed2e10f7b990944a854352c7e16f6184c1f044db169d0cf7 --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 10 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r010/rollouts.csv --device cuda:0"
transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r020	transport_recovery	gripper_reopen	linear_sarm_equiv	20260912	20	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r020	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition gripper_reopen --method linear_sarm_equiv --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260912/checkpoints/best_val.pt --checkpoint-sha256 148ba1c81667d292ed2e10f7b990944a854352c7e16f6184c1f044db169d0cf7 --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 20 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r020/rollouts.csv --device cuda:0"
transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r030	transport_recovery	gripper_reopen	linear_sarm_equiv	20260912	30	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r030	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition gripper_reopen --method linear_sarm_equiv --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260912/checkpoints/best_val.pt --checkpoint-sha256 148ba1c81667d292ed2e10f7b990944a854352c7e16f6184c1f044db169d0cf7 --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 30 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r030/rollouts.csv --device cuda:0"
transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r040	transport_recovery	gripper_reopen	linear_sarm_equiv	20260912	40	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r040	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition gripper_reopen --method linear_sarm_equiv --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__linear_sarm_equiv__s20260912/checkpoints/best_val.pt --checkpoint-sha256 148ba1c81667d292ed2e10f7b990944a854352c7e16f6184c1f044db169d0cf7 --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 40 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__gripper_reopen__linear_sarm_equiv__s20260912__r040/rollouts.csv --device cuda:0"
transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r000	transport_recovery	natural	pathgraph_reward_v1_locked	20260912	0	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r000	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition natural --method pathgraph_reward_v1_locked --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260912/checkpoints/best_val.pt --checkpoint-sha256 160c8edc96f50265d6a866766abf6fb7fbe0743ec83056959c08af4bdb1dd07c --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 0 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r000/rollouts.csv --device cuda:0"
transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r010	transport_recovery	natural	pathgraph_reward_v1_locked	20260912	10	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r010	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition natural --method pathgraph_reward_v1_locked --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260912/checkpoints/best_val.pt --checkpoint-sha256 160c8edc96f50265d6a866766abf6fb7fbe0743ec83056959c08af4bdb1dd07c --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 10 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r010/rollouts.csv --device cuda:0"
transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r020	transport_recovery	natural	pathgraph_reward_v1_locked	20260912	20	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r020	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition natural --method pathgraph_reward_v1_locked --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260912/checkpoints/best_val.pt --checkpoint-sha256 160c8edc96f50265d6a866766abf6fb7fbe0743ec83056959c08af4bdb1dd07c --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 20 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r020/rollouts.csv --device cuda:0"
transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r030	transport_recovery	natural	pathgraph_reward_v1_locked	20260912	30	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r030	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition natural --method pathgraph_reward_v1_locked --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260912/checkpoints/best_val.pt --checkpoint-sha256 160c8edc96f50265d6a866766abf6fb7fbe0743ec83056959c08af4bdb1dd07c --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 30 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r030/rollouts.csv --device cuda:0"
transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r040	transport_recovery	natural	pathgraph_reward_v1_locked	20260912	40	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r040	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition natural --method pathgraph_reward_v1_locked --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260912/checkpoints/best_val.pt --checkpoint-sha256 160c8edc96f50265d6a866766abf6fb7fbe0743ec83056959c08af4bdb1dd07c --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 40 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__natural__pathgraph_reward_v1_locked__s20260912__r040/rollouts.csv --device cuda:0"
transport_recovery__drop_regrasp__pathgraph_reward_v1_locked__s20260912__r000	transport_recovery	drop_regrasp	pathgraph_reward_v1_locked	20260912	0	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__drop_regrasp__pathgraph_reward_v1_locked__s20260912__r000	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition drop_regrasp --method pathgraph_reward_v1_locked --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260912/checkpoints/best_val.pt --checkpoint-sha256 160c8edc96f50265d6a866766abf6fb7fbe0743ec83056959c08af4bdb1dd07c --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 0 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__drop_regrasp__pathgraph_reward_v1_locked__s20260912__r000/rollouts.csv --device cuda:0"
transport_recovery__drop_regrasp__pathgraph_reward_v1_locked__s20260912__r010	transport_recovery	drop_regrasp	pathgraph_reward_v1_locked	20260912	10	10	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__drop_regrasp__pathgraph_reward_v1_locked__s20260912__r010	"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6_refine1/evaluate_refine1_shard.py --task transport_recovery --condition drop_regrasp --method pathgraph_reward_v1_locked --policy-seed 20260912 --checkpoint /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_training_v1/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260912/checkpoints/best_val.pt --checkpoint-sha256 160c8edc96f50265d6a866766abf6fb7fbe0743ec83056959c08af4bdb1dd07c --seed-registry /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/locks/evaluation_seed_registry.csv --rollout-start 10 --rollout-count 10 --output /home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6_refine1/policy_evaluation_v1/jobs/transport_recovery__drop_regrasp__pathgraph_reward_v1_locked__s20260912__r010/rollouts.csv --device cuda:0"
