dataset,rollout_id,case_id,reference_action,reference_resolved,temporal_outcome,accurate,primary_action,primary_action_time,primary_action_capture_order,event_onset,deadline,latency_from_physical_onset
R21,L2RAR2_R21_PERF_00_888000__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.6100000000000012,2.360000000000001,0.040000000000000036
R21,L2RAR2_R21_PERF_00_888000__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_00_888000__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_00_888000__T2_transport_camera_jitter,T2_transport_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_00_888000__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_00_888000__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_00_888000__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5700000000000012,2.320000000000001,0.08000000000000007
R21,L2RAR2_R21_PERF_00_888000__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5900000000000012,2.340000000000001,0.06000000000000005
R21,L2RAR2_R21_PERF_01_888001__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,32,1.380000000000001,2.130000000000001,0.07000000000000006
R21,L2RAR2_R21_PERF_01_888001__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_01_888001__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_01_888001__T2_transport_camera_jitter,T2_transport_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_01_888001__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_01_888001__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R21,L2RAR2_R21_PERF_01_888001__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.400000000000001,31,1.340000000000001,2.0900000000000007,0.06000000000000005
R21,L2RAR2_R21_PERF_01_888001__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.450000000000001,32,1.360000000000001,2.110000000000001,0.09000000000000008
