rollout_id,root_family_id,case_id,requested_effect,source,first_action_time,request_received_time,valid,reasons,outcome_encoded
L2RAR2_SELECT_00_820000:K1_hold_request_ends_without_hold,L2RAR2_SELECT_00_820000,K1_hold_request_ends_without_hold,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_00_820000:K2_touch_request_completes_without_hold,L2RAR2_SELECT_00_820000,K2_touch_request_completes_without_hold,TOUCH_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_00_820000:K3_normal_hold_pause_resume,L2RAR2_SELECT_00_820000,K3_normal_hold_pause_resume,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_00_820000:K4_regular_hold_loss,L2RAR2_SELECT_00_820000,K4_regular_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_00_820000:K5_brief_hold_loss,L2RAR2_SELECT_00_820000,K5_brief_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_00_820000:K6_long_gap_after_loss,L2RAR2_SELECT_00_820000,K6_long_gap_after_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_00_820000:K7_commanded_release,L2RAR2_SELECT_00_820000,K7_commanded_release,RELEASE_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_00_820000:K8_acquisition_touch_then_continue,L2RAR2_SELECT_00_820000,K8_acquisition_touch_then_continue,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_01_820001:K1_hold_request_ends_without_hold,L2RAR2_SELECT_01_820001,K1_hold_request_ends_without_hold,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_01_820001:K2_touch_request_completes_without_hold,L2RAR2_SELECT_01_820001,K2_touch_request_completes_without_hold,TOUCH_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_01_820001:K3_normal_hold_pause_resume,L2RAR2_SELECT_01_820001,K3_normal_hold_pause_resume,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_01_820001:K4_regular_hold_loss,L2RAR2_SELECT_01_820001,K4_regular_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_01_820001:K5_brief_hold_loss,L2RAR2_SELECT_01_820001,K5_brief_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_01_820001:K6_long_gap_after_loss,L2RAR2_SELECT_01_820001,K6_long_gap_after_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_01_820001:K7_commanded_release,L2RAR2_SELECT_01_820001,K7_commanded_release,RELEASE_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_01_820001:K8_acquisition_touch_then_continue,L2RAR2_SELECT_01_820001,K8_acquisition_touch_then_continue,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_02_820002:K1_hold_request_ends_without_hold,L2RAR2_SELECT_02_820002,K1_hold_request_ends_without_hold,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_02_820002:K2_touch_request_completes_without_hold,L2RAR2_SELECT_02_820002,K2_touch_request_completes_without_hold,TOUCH_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_02_820002:K3_normal_hold_pause_resume,L2RAR2_SELECT_02_820002,K3_normal_hold_pause_resume,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_02_820002:K4_regular_hold_loss,L2RAR2_SELECT_02_820002,K4_regular_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_02_820002:K5_brief_hold_loss,L2RAR2_SELECT_02_820002,K5_brief_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_02_820002:K6_long_gap_after_loss,L2RAR2_SELECT_02_820002,K6_long_gap_after_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_02_820002:K7_commanded_release,L2RAR2_SELECT_02_820002,K7_commanded_release,RELEASE_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_02_820002:K8_acquisition_touch_then_continue,L2RAR2_SELECT_02_820002,K8_acquisition_touch_then_continue,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_03_820003:K1_hold_request_ends_without_hold,L2RAR2_SELECT_03_820003,K1_hold_request_ends_without_hold,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_03_820003:K2_touch_request_completes_without_hold,L2RAR2_SELECT_03_820003,K2_touch_request_completes_without_hold,TOUCH_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_03_820003:K3_normal_hold_pause_resume,L2RAR2_SELECT_03_820003,K3_normal_hold_pause_resume,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_03_820003:K4_regular_hold_loss,L2RAR2_SELECT_03_820003,K4_regular_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_03_820003:K5_brief_hold_loss,L2RAR2_SELECT_03_820003,K5_brief_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_03_820003:K6_long_gap_after_loss,L2RAR2_SELECT_03_820003,K6_long_gap_after_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_03_820003:K7_commanded_release,L2RAR2_SELECT_03_820003,K7_commanded_release,RELEASE_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_03_820003:K8_acquisition_touch_then_continue,L2RAR2_SELECT_03_820003,K8_acquisition_touch_then_continue,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_04_820004:K1_hold_request_ends_without_hold,L2RAR2_SELECT_04_820004,K1_hold_request_ends_without_hold,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_04_820004:K2_touch_request_completes_without_hold,L2RAR2_SELECT_04_820004,K2_touch_request_completes_without_hold,TOUCH_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_04_820004:K3_normal_hold_pause_resume,L2RAR2_SELECT_04_820004,K3_normal_hold_pause_resume,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_04_820004:K4_regular_hold_loss,L2RAR2_SELECT_04_820004,K4_regular_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_04_820004:K5_brief_hold_loss,L2RAR2_SELECT_04_820004,K5_brief_hold_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_04_820004:K6_long_gap_after_loss,L2RAR2_SELECT_04_820004,K6_long_gap_after_loss,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_04_820004:K7_commanded_release,L2RAR2_SELECT_04_820004,K7_commanded_release,RELEASE_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_04_820004:K8_acquisition_touch_then_continue,L2RAR2_SELECT_04_820004,K8_acquisition_touch_then_continue,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
L2RAR2_SELECT_05_820005:K1_hold_request_ends_without_hold,L2RAR2_SELECT_05_820005,K1_hold_request_ends_without_hold,HOLD_OBJECT,controller_dispatch,0.0,0.0,True,,False
