method,rollout_id,primary_action,primary_action_time,primary_action_capture_order,reason_code,temporal_outcome,historical_primary_action,historical_primary_action_time,historical_primary_action_capture_order,historical_reason_code,historical_temporal_outcome,matches
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C3_stable_hold_clean,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C3_stable_hold_clean,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C4_stable_hold_camera_jitter,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C4_stable_hold_camera_jitter,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C5_weld_off_no_force_outcome_control,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C5_weld_off_no_force_outcome_control,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C6_weak_intervention_outcome,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C6_weak_intervention_outcome,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C7_medium_intervention_outcome,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C7_medium_intervention_outcome,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C8_strong_loss_clean,recover_object,1.450000000000001,33,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.450000000000001,33,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C8_strong_loss_clean,recover_object,1.450000000000001,33,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.450000000000001,33,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_03_882003__C9_strong_loss_frame_dropout,recover_object,1.450000000000001,33,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.450000000000001,33,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_03_882003__C9_strong_loss_frame_dropout,recover_object,1.450000000000001,33,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.450000000000001,33,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_04_882004__C10_brief_hold_strong_loss,recover_object,1.1000000000000008,26,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.1000000000000008,26,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_04_882004__C10_brief_hold_strong_loss,recover_object,1.1000000000000008,26,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,recover_object,1.1000000000000008,26,historical_hold_established_then_observed_non_release_contact_loss,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_04_882004__C11_transport_strong_loss,recover_object,1.5500000000000012,36,historical_hold_established_then_observed_non_release_contact_loss,EARLY_ACTION,recover_object,1.5500000000000012,36,historical_hold_established_then_observed_non_release_contact_loss,EARLY_ACTION,True
