probe_id,root_family_id,stratum,decision_frame_index,first_correct_frame,delay_observation_steps,delay_seconds,detected
L2RA_D_00_02_430000_r00,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r01,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r02,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r03,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r00,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r01,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r02,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r03,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_01_02_430000_r00,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_02_430000_r01,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_02_430000_r02,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_02_430000_r03,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r00,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r01,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r02,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r03,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_04_02_430000_r00,L2RA_D_04_02_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_02_430000_r01,L2RA_D_04_02_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_02_430000_r02,L2RA_D_04_02_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_02_430000_r03,L2RA_D_04_02_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r00,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r01,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r02,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r03,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_00_02_430000_r00,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r01,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r02,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r03,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r00,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r01,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r02,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r03,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_01_02_430000_r00,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_02_430000_r01,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_02_430000_r02,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_02_430000_r03,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r00,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r01,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r02,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r03,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_04_02_430000_r00,L2RA_D_04_02_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_02_430000_r01,L2RA_D_04_02_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_02_430000_r02,L2RA_D_04_02_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_02_430000_r03,L2RA_D_04_02_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_03_430000_r00,L2RA_D_04_03_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_03_430000_r01,L2RA_D_04_03_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_03_430000_r02,L2RA_D_04_03_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_03_430000_r03,L2RA_D_04_03_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_00_02_430000_r00,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r01,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r02,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r03,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r00,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r01,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r02,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r03,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_01_02_430000_r00,L2RA_D_01_02_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_02_430000_r01,L2RA_D_01_02_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_02_430000_r02,L2RA_D_01_02_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_02_430000_r03,L2RA_D_01_02_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_03_430000_r00,L2RA_D_01_03_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_03_430000_r01,L2RA_D_01_03_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_03_430000_r02,L2RA_D_01_03_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_03_430000_r03,L2RA_D_01_03_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_04_02_430000_r00,L2RA_D_04_02_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_02_430000_r01,L2RA_D_04_02_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_02_430000_r02,L2RA_D_04_02_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_02_430000_r03,L2RA_D_04_02_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_03_430000_r00,L2RA_D_04_03_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_03_430000_r01,L2RA_D_04_03_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_03_430000_r02,L2RA_D_04_03_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_03_430000_r03,L2RA_D_04_03_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_00_02_430000_r00,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r01,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r02,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r03,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r00,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r01,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r02,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r03,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_01_02_430000_r00,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_02_430000_r01,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_02_430000_r02,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_02_430000_r03,L2RA_D_01_02_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r00,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r01,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r02,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_01_03_430000_r03,L2RA_D_01_03_430000,loss_after_observed_hold,4,4,0,0.0,True
L2RA_D_04_02_430000_r00,L2RA_D_04_02_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_02_430000_r01,L2RA_D_04_02_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_02_430000_r02,L2RA_D_04_02_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_02_430000_r03,L2RA_D_04_02_430000,long_gap_after_loss,4,4,0,0.0,True
L2RA_D_04_03_430000_r00,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r01,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r02,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r03,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_00_02_430000_r00,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r01,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r02,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_02_430000_r03,L2RA_D_00_02_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r00,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r01,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r02,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_00_03_430000_r03,L2RA_D_00_03_430000,miss_without_prior_hold,2,2,0,0.0,True
L2RA_D_01_02_430000_r00,L2RA_D_01_02_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_02_430000_r01,L2RA_D_01_02_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_02_430000_r02,L2RA_D_01_02_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_02_430000_r03,L2RA_D_01_02_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_03_430000_r00,L2RA_D_01_03_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_03_430000_r01,L2RA_D_01_03_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_03_430000_r02,L2RA_D_01_03_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_01_03_430000_r03,L2RA_D_01_03_430000,loss_after_observed_hold,4,5,1,0.1499999999999999,True
L2RA_D_04_02_430000_r00,L2RA_D_04_02_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_02_430000_r01,L2RA_D_04_02_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_02_430000_r02,L2RA_D_04_02_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_02_430000_r03,L2RA_D_04_02_430000,long_gap_after_loss,4,5,1,0.1499999999999999,True
L2RA_D_04_03_430000_r00,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r01,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r02,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
L2RA_D_04_03_430000_r03,L2RA_D_04_03_430000,long_gap_after_loss,4,,,,False
