method,rollout_id,root_family_id,case_id,event_id,reference_type,expected_action,selected_action,selected_time,window_start,window_end,correct,missed,false_emergency,premature_emergency,event_window_conflict,rollout_conflict,hold_evidence_before_event,hold_memory_at_last_closed_observation,delay_seconds,reference_status,request_source,reference_reason
D0_generic_attempt_end,L2RAR2_FIT_00_810000:K1_hold_request_ends_without_hold,L2RAR2_FIT_00_810000,K1_hold_request_ends_without_hold,L2RAR2_FIT_00_810000:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action,
M1_requested_effect_gate,L2RAR2_FIT_00_810000:K1_hold_request_ends_without_hold,L2RAR2_FIT_00_810000,K1_hold_request_ends_without_hold,L2RAR2_FIT_00_810000:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action,
D0_generic_attempt_end,L2RAR2_FIT_00_810000:K2_touch_request_completes_without_hold,L2RAR2_FIT_00_810000,K2_touch_request_completes_without_hold,L2RAR2_FIT_00_810000:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,retry_grasp,0.5,0.5,0.5,False,False,True,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action,
M1_requested_effect_gate,L2RAR2_FIT_00_810000:K2_touch_request_completes_without_hold,L2RAR2_FIT_00_810000,K2_touch_request_completes_without_hold,L2RAR2_FIT_00_810000:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,none,,0.5,0.5,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action,
D0_generic_attempt_end,L2RAR2_FIT_00_810000:K3_normal_hold_pause_resume,L2RAR2_FIT_00_810000,K3_normal_hold_pause_resume,L2RAR2_FIT_00_810000:K3_normal_hold_pause_resume:primary,held_pause_resume_no_failure,none,none,,0.6,1.1,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action,
M1_requested_effect_gate,L2RAR2_FIT_00_810000:K3_normal_hold_pause_resume,L2RAR2_FIT_00_810000,K3_normal_hold_pause_resume,L2RAR2_FIT_00_810000:K3_normal_hold_pause_resume:primary,held_pause_resume_no_failure,none,none,,0.6,1.1,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action,
D0_generic_attempt_end,L2RAR2_FIT_00_810000:K4_regular_hold_loss,L2RAR2_FIT_00_810000,K4_regular_hold_loss,L2RAR2_FIT_00_810000:K4_regular_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action,
M1_requested_effect_gate,L2RAR2_FIT_00_810000:K4_regular_hold_loss,L2RAR2_FIT_00_810000,K4_regular_hold_loss,L2RAR2_FIT_00_810000:K4_regular_hold_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action,
D0_generic_attempt_end,L2RAR2_FIT_00_810000:K5_brief_hold_loss,L2RAR2_FIT_00_810000,K5_brief_hold_loss,L2RAR2_FIT_00_810000:K5_brief_hold_loss:primary,held_object_loss_recovery_required,recover_object,none,,0.65,1.15,False,True,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action,
M1_requested_effect_gate,L2RAR2_FIT_00_810000:K5_brief_hold_loss,L2RAR2_FIT_00_810000,K5_brief_hold_loss,L2RAR2_FIT_00_810000:K5_brief_hold_loss:primary,held_object_loss_recovery_required,recover_object,none,,0.65,1.15,False,True,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action,
D0_generic_attempt_end,L2RAR2_FIT_00_810000:K6_long_gap_after_loss,L2RAR2_FIT_00_810000,K6_long_gap_after_loss,L2RAR2_FIT_00_810000:K6_long_gap_after_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action,
M1_requested_effect_gate,L2RAR2_FIT_00_810000:K6_long_gap_after_loss,L2RAR2_FIT_00_810000,K6_long_gap_after_loss,L2RAR2_FIT_00_810000:K6_long_gap_after_loss:primary,held_object_loss_recovery_required,recover_object,recover_object,0.9,0.8,1.3,True,False,False,False,False,False,True,false,0.09999999999999998,reference_labeled,controller_dispatch_pre_action,
D0_generic_attempt_end,L2RAR2_FIT_00_810000:K7_commanded_release,L2RAR2_FIT_00_810000,K7_commanded_release,L2RAR2_FIT_00_810000:K7_commanded_release:primary,commanded_release,none,none,,0.6,1.1,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action,
M1_requested_effect_gate,L2RAR2_FIT_00_810000:K7_commanded_release,L2RAR2_FIT_00_810000,K7_commanded_release,L2RAR2_FIT_00_810000:K7_commanded_release:primary,commanded_release,none,none,,0.6,1.1,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action,
