alternative_denominator,alternative_f1,alternative_precision,alternative_recall,ambiguous_guard_rate,censored_occurrence_count,dwell_denominator,dwell_f1,dwell_precision,dwell_recall,failure_event_denominator,failure_event_f1,failure_event_precision,failure_event_recall,failure_terminal_denominator,failure_terminal_f1,failure_terminal_precision,failure_terminal_predicted_count,failure_terminal_recall,false_terminal_claim_denominator,false_terminal_claim_rate,graph_id,guard_ambiguous_count,mixed_pair_occurrence_rate,occurrence_count,progress_denominator,progress_f1,progress_precision,progress_recall,recovery_achieved_denominator,recovery_achieved_f1,recovery_achieved_precision,recovery_achieved_recall,recovery_attempt_denominator,recovery_attempt_f1,recovery_attempt_precision,recovery_attempt_recall,root_family_id,scenario_for_analysis_only,terminal_abstention_rate,terminal_actual_count,terminal_claim_count,terminal_claim_coverage,terminal_failure_denominator,terminal_failure_f1,terminal_failure_precision,terminal_failure_recall,terminal_success_denominator,terminal_success_f1,terminal_success_precision,terminal_success_recall,transition_coverage,typed_occurrence_coverage,unknown_rate
0,,,,0.0,0,0,,,,1,,,0.0,0,,,0,,0,,G1_single_label_v2,0,0.0,39,8,0.6666666666666666,1.0,0.5,1,,,0.0,1,,,0.0,u4r1_confirm_019,grazing_contact,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.10256410256410256,0.8974358974358975
0,,,,0.0,0,0,,,,4,,,0.0,0,,0.0,4,,4,1.0,G1_single_label_v2,0,0.0,49,8,0.6666666666666666,1.0,0.5,4,,,0.0,4,,,0.0,u4r1_confirm_020,slip_recovery,0.9183673469387755,4,4,0.08163265306122448,0,,,,4,,,0.0,1.0,0.08163265306122448,0.9183673469387755
0,,,,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,37,8,0.6666666666666666,1.0,0.5,0,,,,0,,,,u4r1_confirm_021,obstacle_detour,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.10810810810810811,0.8918918918918919
0,,,,0.0,0,0,,,,0,,,,4,,,0,0.0,0,,G1_single_label_v2,0,0.0,26,4,,,0.0,0,,,,0,,,,u4r1_confirm_022,terminal_collision,1.0,4,0,0.0,4,,,0.0,0,,,,1.0,0.0,1.0
0,,,,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,49,8,0.6666666666666666,1.0,0.5,0,,0.0,,0,,,,u4r1_confirm_023,stagnation,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.12244897959183673,0.8775510204081632
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,38,8,,,0.0,0,,,,0,,,,u4r1_confirm_024,nominal_success,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
4,0.4,1.0,0.25,0.0,1,1,,,0.0,3,,,0.0,0,,0.0,10,,10,1.0,G1_single_label_v2,0,0.0,85,7,,,0.0,2,,0.0,0.0,3,,,0.0,u4r1_confirm_025,grazing_contact,0.8809523809523809,3,10,0.11904761904761904,0,,,,3,,,0.0,1.0,0.03529411764705882,0.9647058823529412
4,,,0.0,0.0,0,0,,,,4,,,0.0,0,,0.0,2,,2,1.0,G1_single_label_v2,0,0.0,55,8,,,0.0,4,,0.0,0.0,4,,,0.0,u4r1_confirm_026,slip_recovery,0.9636363636363636,4,2,0.03636363636363636,0,,,,4,,,0.0,1.0,0.01818181818181818,0.9818181818181818
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,39,8,,,0.0,0,,,,0,,,,u4r1_confirm_027,obstacle_detour,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.0,1.0
0,,,,0.0,0,0,,,,0,,,,4,,,0,0.0,0,,G1_single_label_v2,0,0.0,12,4,,,0.0,0,,,,0,,,,u4r1_confirm_028,terminal_collision,1.0,4,0,0.0,4,,,0.0,0,,,,1.0,0.0,1.0
4,,,0.0,0.0,0,0,,,,0,,,,0,,,0,,0,,G1_single_label_v2,0,0.0,50,8,,,0.0,0,,0.0,,0,,,,u4r1_confirm_029,stagnation,1.0,4,0,0.0,0,,,,4,,,0.0,1.0,0.04,0.96
