episode,seed,success,decision_points,first_timestep,last_timestep,episode_file,video_file,episode_sha256,video_sha256,obs_shape,action_shape
0,100000,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0000_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0000_fail.mp4,58f0b2f5c608ed91cfb8733b3091c682ece87cbd4a34eed46dd33bcfd7bd4044,b4900a1972f08512f9a58bfbc734cc7e741904dba4ed71f1a26dd47688a723f5,"(2, 59)","(16, 20)"
1,100001,True,72,0,568,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0001_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0001_succ.mp4,b49087e45cc7983332854aacb1d1e5b6cb3bb3b9a12c45917f254958580e1fb0,879389687e9431acf1853476fe216d5f54b9a2a1495806a92548d02e30000f9b,"(2, 59)","(16, 20)"
2,100002,True,63,0,496,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0002_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0002_succ.mp4,d13bca7e163175630f51eb496f2e14483e6724278a7555409915a747787358cf,bb796e83183996e9ab817a1a6d9ea7cb384f94f10a2c661ef0b2dfb00ce1f2a4,"(2, 59)","(16, 20)"
3,100003,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0003_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0003_fail.mp4,aaa4ac1978b9921a17543da72cb7388bfef8b092dc57233e592b4726c4f52dc4,3c7f80b7f95785d91644f6fabf75a6ba55d5584e497322bcaae5d609675dae0f,"(2, 59)","(16, 20)"
4,100004,True,53,0,416,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0004_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0004_succ.mp4,9c4f6a7904adb64102fa17213800940fe2f63cf87a6386be8914dac2018c45fb,cb1f9d8c88427a771ca3c6c484f1639739faaa297905cfcfea3ed942d531e554,"(2, 59)","(16, 20)"
5,100005,True,87,0,688,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0005_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0005_succ.mp4,b3ac0dacece48f1472d5694a3e97ac361a534504bfbf82e48b766dfc80fef53c,6ea819ed510a30e32c5e468b4879659ca3c5f963db1586dd8a6508e3f0a8f662,"(2, 59)","(16, 20)"
6,100006,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0006_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0006_fail.mp4,496bd1f03eac90d03cba1b7aaea51127332d3b423971118bc85b385bc654c695,5d7c5b49d103e6824027411998ee26f4b3135f42933f1280ae66bc1485a6d2b0,"(2, 59)","(16, 20)"
7,100007,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0007_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0007_fail.mp4,647a0c6874d5ede560e8eb43ab31b018f07efc0275ffc0fbab5bb2383092e604,7c746386bb8d61341d797eb6a1518d8313b74d65a2eca274d260ed15e248426d,"(2, 59)","(16, 20)"
8,100008,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0008_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0008_fail.mp4,420593e2e7f1a7f4883ee8abc1dc5bde2e45ada1de00eb26bb23490c7d3978b3,b6e45b1381c83acf9377d9592a72c34ad8f725ddf4d169080ccc7d153f571152,"(2, 59)","(16, 20)"
9,100009,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0009_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0009_fail.mp4,27b6a58c819b710ee72932b8ee4ed268017e3d1118f1c9c614bc37183ff5faf6,64437381a016944e784b9d5460210084de413b4758614e2517d0e99c9e768099,"(2, 59)","(16, 20)"
10,100010,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0010_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0010_fail.mp4,edbe859924e6657508b092bcbf0a5790e287c4c22af4140101a1fa06aab597e3,17db59f0823db2f7402509eda5793cb77f72b91266662dc14e2d5196c60db1cd,"(2, 59)","(16, 20)"
11,100011,True,78,0,616,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0011_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0011_succ.mp4,5b58c7db099019d94896f254440fd3da02be55c7aca5a7669437cadadf42497e,ab4c73a8dad328183d25f6540e5866251257a5db3a0031d95fde0222db85f2b3,"(2, 59)","(16, 20)"
12,100012,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0012_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0012_fail.mp4,b29ae365288e27aed4efc102d8a4234f4e837b57f50eeb48c16607919ee34348,c0d0e3eba30eabbeb01bf3e75c63544f9740649802a2e78cdced430dc2c739aa,"(2, 59)","(16, 20)"
13,100013,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0013_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0013_fail.mp4,42764717a66dc2d2573d847d28d70c8b505614e06fb72045a53f43d5faca619c,8aed17b97d2046a60be325a04990fbf11c81a0c4220fcac2d3fad3718d51a5f1,"(2, 59)","(16, 20)"
14,100014,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0014_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0014_fail.mp4,bc5952968fdd1467c1b8e53e21f54cf54e95c40704c6dfd255d48f2f59243c8c,a48f3254934a4f91949bdab283259a72472dd83220c10bbe1b7a88b6dd17ade8,"(2, 59)","(16, 20)"
15,100015,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0015_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0015_fail.mp4,8e69971e4ff904c6e8488c079c009234f85691d546a0c494f6216aded5fe51ff,dca92c74fc7ff613262704ba49f613216db71624705e4b4100a28c0adee8fa0d,"(2, 59)","(16, 20)"
16,100016,True,85,0,672,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0016_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0016_succ.mp4,03b1f321bd2052c9286683ff6f6069990a7a816f97ff1df56e6c0fa7c22b6f9a,732438e7224e73d0ebd8f214a604fbe78aee981f28f50b03394daf2073bf12ba,"(2, 59)","(16, 20)"
17,100017,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0017_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0017_fail.mp4,e53f3771b564cdec831720c7f61243b923b207e59eec6888b1d03d4d170c539b,a7fb21063d196240083728f6c4e3ea76f6389f33e8f6fddfca3b416d16563bb6,"(2, 59)","(16, 20)"
