rollout_id,family_id,family_seed,rollout_seed,case_id,trace_complete,frame_manifest_complete,detector_job_complete,numeric_health_pass,pre_hold_verified,physical_loss_confirmed,state,reference_action,resolvable,commanded_release,force_start_time,phase_grid_time,requested_phase_offset_ms,actual_phase_offset_ms,loss_onset_time_abs,loss_confirmed_time_abs,peak_relative_separation_m,reference_path,physics_trace_path,candidate_input_path
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R22_CANON_00_890000,890000,89100004,T11_transport_strong_phase_40ms_rgb_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.340000000000001,1.300000000000001,40,40.000000000000036,1.6100000000000012,1.7400000000000013,0.40015947772497995,../../../confirmation/L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout/candidate_input
L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release,L2RAR2_R22_CANON_00_890000,890000,89100005,T12_transport_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,1.300000000000001,20,20.000000000000018,,,0.38514755524414507,../../../confirmation/L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_00_890000__T12_transport_commanded_release/candidate_input
L2RAR2_R22_CANON_00_890000__T1_transport_stable_clean,L2RAR2_R22_CANON_00_890000,890000,89100000,T1_transport_stable_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.01385248934997925,../../../confirmation/L2RAR2_R22_CANON_00_890000__T1_transport_stable_clean/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_00_890000__T1_transport_stable_clean/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_00_890000__T1_transport_stable_clean/candidate_input
L2RAR2_R22_CANON_00_890000__T3_transport_single_contact_proxy_dropout,L2RAR2_R22_CANON_00_890000,890000,89100001,T3_transport_single_contact_proxy_dropout,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.01385248934997925,../../../confirmation/L2RAR2_R22_CANON_00_890000__T3_transport_single_contact_proxy_dropout/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_00_890000__T3_transport_single_contact_proxy_dropout/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_00_890000__T3_transport_single_contact_proxy_dropout/candidate_input
L2RAR2_R22_CANON_00_890000__T4_transport_same_time_contact_false_then_true,L2RAR2_R22_CANON_00_890000,890000,89100002,T4_transport_same_time_contact_false_then_true,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.01385248934997925,../../../confirmation/L2RAR2_R22_CANON_00_890000__T4_transport_same_time_contact_false_then_true/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_00_890000__T4_transport_same_time_contact_false_then_true/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_00_890000__T4_transport_same_time_contact_false_then_true/candidate_input
L2RAR2_R22_CANON_00_890000__T7_transport_strong_phase_00ms,L2RAR2_R22_CANON_00_890000,890000,89100003,T7_transport_strong_phase_00ms,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.300000000000001,1.300000000000001,0,0.0,1.5200000000000011,1.6900000000000013,0.39420579915773457,../../../confirmation/L2RAR2_R22_CANON_00_890000__T7_transport_strong_phase_00ms/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_00_890000__T7_transport_strong_phase_00ms/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_00_890000__T7_transport_strong_phase_00ms/candidate_input
L2RAR2_R22_CANON_01_890001__T11_transport_strong_phase_40ms_rgb_dropout,L2RAR2_R22_CANON_01_890001,890001,89100104,T11_transport_strong_phase_40ms_rgb_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object,True,False,1.340000000000001,1.300000000000001,40,40.000000000000036,1.6100000000000012,1.7400000000000013,0.7453067557077301,../../../confirmation/L2RAR2_R22_CANON_01_890001__T11_transport_strong_phase_40ms_rgb_dropout/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_01_890001__T11_transport_strong_phase_40ms_rgb_dropout/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_01_890001__T11_transport_strong_phase_40ms_rgb_dropout/candidate_input
L2RAR2_R22_CANON_01_890001__T12_transport_commanded_release,L2RAR2_R22_CANON_01_890001,890001,89100105,T12_transport_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none,True,True,,1.300000000000001,20,20.000000000000018,,,0.37327464560762785,../../../confirmation/L2RAR2_R22_CANON_01_890001__T12_transport_commanded_release/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_01_890001__T12_transport_commanded_release/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_01_890001__T12_transport_commanded_release/candidate_input
L2RAR2_R22_CANON_01_890001__T1_transport_stable_clean,L2RAR2_R22_CANON_01_890001,890001,89100100,T1_transport_stable_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.015521730796488241,../../../confirmation/L2RAR2_R22_CANON_01_890001__T1_transport_stable_clean/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_01_890001__T1_transport_stable_clean/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_01_890001__T1_transport_stable_clean/candidate_input
L2RAR2_R22_CANON_01_890001__T3_transport_single_contact_proxy_dropout,L2RAR2_R22_CANON_01_890001,890001,89100101,T3_transport_single_contact_proxy_dropout,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none,True,False,,1.300000000000001,,,,,0.015521730796488241,../../../confirmation/L2RAR2_R22_CANON_01_890001__T3_transport_single_contact_proxy_dropout/reference/physical_reference.json,../../../confirmation/L2RAR2_R22_CANON_01_890001__T3_transport_single_contact_proxy_dropout/reference/physics_trace.jsonl,../../../confirmation/L2RAR2_R22_CANON_01_890001__T3_transport_single_contact_proxy_dropout/candidate_input
