job_id	variant_id	seed	split	status	output_dir
history_8_default__s20260907__stage3_diagnostic	history_8_default	20260907	stage3_diagnostic	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_8_default__s20260907__stage3_diagnostic
history_8_default__s20260908__val	history_8_default	20260908	val	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_8_default__s20260908__val
history_8_default__s20260908__test	history_8_default	20260908	test	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_8_default__s20260908__test
history_8_default__s20260908__stage3_diagnostic	history_8_default	20260908	stage3_diagnostic	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_8_default__s20260908__stage3_diagnostic
history_32_coarse__s20260906__val	history_32_coarse	20260906	val	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_coarse__s20260906__val
history_32_coarse__s20260906__test	history_32_coarse	20260906	test	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_coarse__s20260906__test
history_32_coarse__s20260906__stage3_diagnostic	history_32_coarse	20260906	stage3_diagnostic	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_coarse__s20260906__stage3_diagnostic
history_32_coarse__s20260907__val	history_32_coarse	20260907	val	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_coarse__s20260907__val
history_32_coarse__s20260907__test	history_32_coarse	20260907	test	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_coarse__s20260907__test
history_32_coarse__s20260907__stage3_diagnostic	history_32_coarse	20260907	stage3_diagnostic	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_coarse__s20260907__stage3_diagnostic
history_32_coarse__s20260908__val	history_32_coarse	20260908	val	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_coarse__s20260908__val
history_32_coarse__s20260908__test	history_32_coarse	20260908	test	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_coarse__s20260908__test
history_32_coarse__s20260908__stage3_diagnostic	history_32_coarse	20260908	stage3_diagnostic	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_coarse__s20260908__stage3_diagnostic
history_32_fine__s20260906__val	history_32_fine	20260906	val	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_fine__s20260906__val
history_32_fine__s20260906__test	history_32_fine	20260906	test	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_fine__s20260906__test
history_32_fine__s20260906__stage3_diagnostic	history_32_fine	20260906	stage3_diagnostic	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_fine__s20260906__stage3_diagnostic
history_32_fine__s20260907__val	history_32_fine	20260907	val	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_fine__s20260907__val
history_32_fine__s20260907__test	history_32_fine	20260907	test	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_fine__s20260907__test
history_32_fine__s20260907__stage3_diagnostic	history_32_fine	20260907	stage3_diagnostic	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_fine__s20260907__stage3_diagnostic
history_32_fine__s20260908__val	history_32_fine	20260908	val	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_fine__s20260908__val
history_32_fine__s20260908__test	history_32_fine	20260908	test	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_fine__s20260908__test
history_32_fine__s20260908__stage3_diagnostic	history_32_fine	20260908	stage3_diagnostic	PASS	/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage7_reward_only/model_variants_v1/history_granularity_v1/predictions/history_32_fine__s20260908__stage3_diagnostic
