rollout_id,root_family_id,case_id,candidate_id,source_path,t_detach_command,t_loss_physical_verified,t_contact_observable,t_visual_observable,historical_hold_established,hold_evidence_first_time,t_decision_any,t_decision_correct,selected_action,last_passing_stage,first_blocking_stage,chain_conclusion,reference_event_id,reference_label_preserved,probe_physical_loss_status,probe_physical_loss_reason
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,B_count2,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_01_840001/K6_long_gap_after_loss,0.85,,,,True,0.65,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss:primary,True,,
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,C3_vector_rho035,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_01_840001/K6_long_gap_after_loss,0.85,,,,True,0.5,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss:primary,True,,
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,B_count2,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_02_840002/K4_regular_hold_loss,0.9,,,0.9,True,0.65,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss:primary,True,,
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,C3_vector_rho035,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_02_840002/K4_regular_hold_loss,0.9,,,0.9,True,0.5,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss:primary,True,,
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,B_count2,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_02_840002/K5_brief_hold_loss,0.75,,,0.75,True,0.65,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss:primary,True,,
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,C3_vector_rho035,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_02_840002/K5_brief_hold_loss,0.75,,,0.75,True,0.5,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss:primary,True,,
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,B_count2,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_02_840002/K6_long_gap_after_loss,0.9,,,0.9,True,0.65,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss:primary,True,,
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,C3_vector_rho035,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_02_840002/K6_long_gap_after_loss,0.9,,,0.9,True,0.5,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss:primary,True,,
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,B_count2,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_03_840003/K4_regular_hold_loss,0.85,,,,False,0.85,,,none,online_hold_evidence,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss:primary,True,,
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,C3_vector_rho035,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_03_840003/K4_regular_hold_loss,0.85,,,,True,0.5,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss:primary,True,,
L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,B_count2,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_03_840003/K5_brief_hold_loss,0.7,,,0.7,False,1.0,,,none,online_hold_evidence,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss:primary,True,,
L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,C3_vector_rho035,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_03_840003/K5_brief_hold_loss,0.7,,,0.7,True,0.5,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_03_840003:K5_brief_hold_loss:primary,True,,
L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,B_count2,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_03_840003/K6_long_gap_after_loss,0.85,,,,False,0.85,,,none,online_hold_evidence,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss:primary,True,,
L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,C3_vector_rho035,/home/__compress_data/xushijie/graph_l2ra_r2_worktree/artifacts/pathgraph_sarm/upgrade_v2/task_context_l2rar2_v1/data_attach_relpose_repair_v1/rollouts/L2RAR2_REPAIR_03_840003/K6_long_gap_after_loss,0.85,,,,True,0.5,,,none,historical_hold_established,physical_loss_verification_missing,insufficient_data,L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss:primary,True,,
