rollout_id,root_family_id,case_id,candidate_id,reference_status,reference_reason,expected_action,selected_action,selected_time,wrong_action,emergency_any,correct,hold_evidence_before_event,pending_event_at_selection,online_oracle_used,data_role
L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,C3_vector_rho035,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,B_count2,reference_labeled,,none,none,,none,False,True,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,B_count2,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,B_count2,reference_labeled,,retry_grasp,retry_grasp,0.45,none,True,True,False,missed_grasp,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,C3_vector_rho035,reference_labeled,,retry_grasp,retry_grasp,0.45,none,True,True,False,missed_grasp,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,B_count2,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,B_count2,reference_labeled,,none,none,,none,False,True,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,B_count2,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,C3_vector_rho035,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,B_count2,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,C3_vector_rho035,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,B_count2,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,C3_vector_rho035,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,B_count2,reference_labeled,,none,none,,none,False,True,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,B_count2,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,B_count2,reference_labeled,,retry_grasp,retry_grasp,0.45,none,True,True,False,missed_grasp,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,C3_vector_rho035,reference_labeled,,retry_grasp,retry_grasp,0.45,none,True,True,False,missed_grasp,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,B_count2,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,B_count2,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,B_count2,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,C3_vector_rho035,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,B_count2,reference_labeled,,recover_object,none,,none,False,False,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K5_brief_hold_loss,L2RAR2_REPAIR_03_840003,K5_brief_hold_loss,C3_vector_rho035,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,B_count2,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K6_long_gap_after_loss,L2RAR2_REPAIR_03_840003,K6_long_gap_after_loss,C3_vector_rho035,reference_labeled,,recover_object,none,,none,False,False,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,B_count2,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K7_commanded_release,L2RAR2_REPAIR_03_840003,K7_commanded_release,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,True,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,B_count2,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
L2RAR2_REPAIR_03_840003:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_03_840003,K8_acquisition_touch_then_continue,C3_vector_rho035,reference_labeled,,none,none,,none,False,True,False,none,False,repair_dev_cache_only
