job_id,task_id,method,policy_seed,output_dir,command,gpu,exit_code,wall_seconds,status
transport_dual_order__linear_sarm_equiv__s20260909,transport_dual_order,linear_sarm_equiv,20260909,artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_dual_order__linear_sarm_equiv__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_dual_order --method linear_sarm_equiv --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_dual_order/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_dual_order__linear_sarm_equiv__s20260909 --max-optimizer-steps 2000 --device cuda:0",5,0,11.014,PASS
transport_dual_order__pathgraph_reward_v1_locked__s20260909,transport_dual_order,pathgraph_reward_v1_locked,20260909,artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_dual_order__pathgraph_reward_v1_locked__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_dual_order --method pathgraph_reward_v1_locked --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_dual_order/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_dual_order__pathgraph_reward_v1_locked__s20260909 --max-optimizer-steps 2000 --device cuda:0",7,0,11.512,PASS
transport_recovery__linear_sarm_equiv__s20260909,transport_recovery,linear_sarm_equiv,20260909,artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_recovery__linear_sarm_equiv__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method linear_sarm_equiv --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/linear_sarm_equiv.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_recovery__linear_sarm_equiv__s20260909 --max-optimizer-steps 2000 --device cuda:0",1,0,12.522,PASS
transport_recovery__sequential_transition__s20260909,transport_recovery,sequential_transition,20260909,artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_recovery__sequential_transition__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method sequential_transition --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/sequential_transition.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_recovery__sequential_transition__s20260909 --max-optimizer-steps 2000 --device cuda:0",2,0,12.521,PASS
transport_recovery__bc_all__s20260909,transport_recovery,bc_all,20260909,artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_recovery__bc_all__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method bc_all --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/bc_all.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_recovery__bc_all__s20260909 --max-optimizer-steps 2000 --device cuda:0",0,0,13.024,PASS
transport_dual_order__bc_all__s20260909,transport_dual_order,bc_all,20260909,artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_dual_order__bc_all__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_dual_order --method bc_all --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/bc_all.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_dual_order/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_dual_order__bc_all__s20260909 --max-optimizer-steps 2000 --device cuda:0",4,0,15.521,PASS
transport_dual_order__sequential_transition__s20260909,transport_dual_order,sequential_transition,20260909,artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_dual_order__sequential_transition__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_dual_order --method sequential_transition --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/sequential_transition.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_dual_order/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_dual_order__sequential_transition__s20260909 --max-optimizer-steps 2000 --device cuda:0",6,0,19.023,PASS
transport_recovery__pathgraph_reward_v1_locked__s20260909,transport_recovery,pathgraph_reward_v1_locked,20260909,artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260909,"PYTHONPATH=""$PWD"" /home/xushijie/.conda/envs/cupid/bin/python tools/stage6/train_weighted_policy.py --task transport_recovery --method pathgraph_reward_v1_locked --policy-seed 20260909 --config configs/stage6/stage6.yaml --dataset-root artifacts/pathgraph_sarm/stage6/policy_data_v1 --weight-file artifacts/pathgraph_sarm/stage6/policy_weights_v1/chunk_weights/pathgraph_reward_v1_locked.parquet --init-checkpoint artifacts/pathgraph_sarm/stage6/policy_protocol_v1/initializations/transport_recovery/seed_20260909/init.pt --output-dir artifacts/pathgraph_sarm/stage6/rounds/stage6_3_protocol_lock_and_smoke/jobs/transport_recovery__pathgraph_reward_v1_locked__s20260909 --max-optimizer-steps 2000 --device cuda:0",3,0,24.032,PASS
