episodes,error_sum,estimability,event,event_id,f1,fn,fp,mae,matched_count,model,precision,recall,split,tolerance,tp
108,0.0,estimable,contact_off_failure,3,1.0,0,0,0.0,25,weak_plus_small_gold_calibration,1.0,1.0,val,2,25
108,0.0,estimable,recovery_start,4,1.0,0,0,0.0,25,weak_plus_small_gold_calibration,1.0,1.0,val,2,25
108,0.0,estimable,contact_reestablished,5,1.0,0,0,0.0,23,weak_plus_small_gold_calibration,1.0,1.0,val,2,23
108,11.0,estimable,detour_start,6,0.04057971014492754,52,279,1.5714285714285714,7,weak_plus_small_gold_calibration,0.024475524475524476,0.11864406779661017,val,2,7
108,0.0,estimable,goal_enter,7,1.0,0,0,0.0,88,weak_plus_small_gold_calibration,1.0,1.0,val,2,88
108,0.0,estimable,stable_success,8,,88,0,,0,weak_plus_small_gold_calibration,,0.0,val,2,0
108,0.0,estimable,terminal_failure,9,0.37113402061855666,2,59,0.0,18,weak_plus_small_gold_calibration,0.23376623376623376,0.9,val,2,18
108,0.0,estimable,stagnation_onset,10,0.2,13,3,0.0,2,weak_plus_small_gold_calibration,0.4,0.13333333333333333,val,2,2
108,0.0,estimable,contact_on,1,1.0,0,0,0.0,108,weak_plus_small_gold_calibration,1.0,1.0,test,1,108
108,0.0,estimable,transport_on,2,,108,0,,0,weak_plus_small_gold_calibration,,0.0,test,1,0
108,0.0,estimable,contact_off_failure,3,1.0,0,0,0.0,27,weak_plus_small_gold_calibration,1.0,1.0,test,1,27
108,0.0,estimable,recovery_start,4,1.0,0,0,0.0,27,weak_plus_small_gold_calibration,1.0,1.0,test,1,27
108,0.0,estimable,contact_reestablished,5,1.0,0,0,0.0,24,weak_plus_small_gold_calibration,1.0,1.0,test,1,24
108,0.0,estimable,detour_start,6,,24,324,,0,weak_plus_small_gold_calibration,0.0,0.0,test,1,0
108,0.0,estimable,goal_enter,7,1.0,0,0,0.0,87,weak_plus_small_gold_calibration,1.0,1.0,test,1,87
108,0.0,estimable,stable_success,8,,87,0,,0,weak_plus_small_gold_calibration,,0.0,test,1,0
108,0.0,estimable,terminal_failure,9,0.5454545454545455,3,27,0.0,18,weak_plus_small_gold_calibration,0.4,0.8571428571428571,test,1,18
108,1.0,estimable,stagnation_onset,10,0.1935483870967742,15,10,0.3333333333333333,3,weak_plus_small_gold_calibration,0.23076923076923078,0.16666666666666666,test,1,3
108,0.0,estimable,contact_on,1,1.0,0,0,0.0,108,weak_plus_small_gold_calibration,1.0,1.0,test,2,108
108,0.0,estimable,transport_on,2,,108,0,,0,weak_plus_small_gold_calibration,,0.0,test,2,0
108,0.0,estimable,contact_off_failure,3,1.0,0,0,0.0,27,weak_plus_small_gold_calibration,1.0,1.0,test,2,27
