pair_id,side,action,name
1310000_slot04,left,20,ADVANCE_3
1310000_slot04,left,21,PLACE_3
1310000_slot04,left,22,START_RECOVERY_3
1310000_slot04,left,23,REGRASP_3
1310000_slot04,left,24,RELEASE_3
1310000_slot04,left,25,ACQUIRE_4
1310000_slot04,left,26,ADVANCE_4
1310000_slot04,left,27,PLACE_4
1310000_slot04,left,28,START_RECOVERY_4
1310000_slot04,left,29,REGRASP_4
1310000_slot04,left,30,RELEASE_4
1310000_slot04,left,31,ACQUIRE_5
1310000_slot04,left,32,ADVANCE_5
1310000_slot04,left,33,PLACE_5
1310000_slot04,left,34,START_RECOVERY_5
1310000_slot04,left,35,REGRASP_5
1310000_slot04,left,36,RELEASE_5
1310000_slot05,left,2,ADVANCE_0
1310000_slot05,left,3,PLACE_0
1310000_slot05,left,4,START_RECOVERY_0
1310000_slot05,left,5,REGRASP_0
1310000_slot05,left,6,RELEASE_0
1310000_slot05,left,8,ADVANCE_1
1310000_slot05,left,9,PLACE_1
1310000_slot05,left,10,START_RECOVERY_1
1310000_slot05,left,11,REGRASP_1
1310000_slot05,left,12,RELEASE_1
1310000_slot05,left,13,ACQUIRE_2
1310000_slot05,left,14,ADVANCE_2
1310000_slot05,left,15,PLACE_2
1310000_slot05,left,16,START_RECOVERY_2
1310000_slot05,left,17,REGRASP_2
1310000_slot05,left,18,RELEASE_2
1310000_slot05,left,19,ACQUIRE_3
1310000_slot05,left,20,ADVANCE_3
1310000_slot05,left,21,PLACE_3
1310000_slot05,left,22,START_RECOVERY_3
1310000_slot05,left,23,REGRASP_3
1310000_slot05,left,24,RELEASE_3
1310000_slot05,left,25,ACQUIRE_4
1310000_slot05,left,26,ADVANCE_4
1310000_slot05,left,27,PLACE_4
1310000_slot05,left,28,START_RECOVERY_4
1310000_slot05,left,29,REGRASP_4
1310000_slot05,left,30,RELEASE_4
1310000_slot05,left,31,ACQUIRE_5
1310000_slot05,left,32,ADVANCE_5
1310000_slot05,left,33,PLACE_5
1310000_slot05,left,34,START_RECOVERY_5
1310000_slot05,left,35,REGRASP_5
1310000_slot05,left,36,RELEASE_5
1310000_slot06,left,1,ACQUIRE_0
1310000_slot06,left,3,PLACE_0
1310000_slot06,left,4,START_RECOVERY_0
1310000_slot06,left,5,REGRASP_0
1310000_slot06,left,7,ACQUIRE_1
1310000_slot06,left,8,ADVANCE_1
1310000_slot06,left,9,PLACE_1
1310000_slot06,left,10,START_RECOVERY_1
1310000_slot06,left,11,REGRASP_1
1310000_slot06,left,12,RELEASE_1
1310000_slot06,left,13,ACQUIRE_2
1310000_slot06,left,14,ADVANCE_2
1310000_slot06,left,15,PLACE_2
1310000_slot06,left,16,START_RECOVERY_2
1310000_slot06,left,17,REGRASP_2
1310000_slot06,left,18,RELEASE_2
1310000_slot06,left,19,ACQUIRE_3
1310000_slot06,left,20,ADVANCE_3
1310000_slot06,left,21,PLACE_3
1310000_slot06,left,22,START_RECOVERY_3
1310000_slot06,left,23,REGRASP_3
1310000_slot06,left,24,RELEASE_3
1310000_slot06,left,25,ACQUIRE_4
1310000_slot06,left,26,ADVANCE_4
