pair_id,motif,same_mask,left_sha,right_sha
1310002_slot08,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot09,PRECEDENCE,True,4994db00ca55018958dea169991aa24d33720d315c7cb7dd601bbbcff8e79fae,4994db00ca55018958dea169991aa24d33720d315c7cb7dd601bbbcff8e79fae
1310002_slot10,PRECEDENCE,True,4994db00ca55018958dea169991aa24d33720d315c7cb7dd601bbbcff8e79fae,4994db00ca55018958dea169991aa24d33720d315c7cb7dd601bbbcff8e79fae
1310002_slot11,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot12,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot13,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310002_slot14,PRECEDENCE,True,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0
1310002_slot15,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot00,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot01,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot02,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot03,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot04,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot05,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot06,PRECEDENCE,True,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0
1310003_slot07,PRECEDENCE,True,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0
1310003_slot08,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot09,PRECEDENCE,True,4994db00ca55018958dea169991aa24d33720d315c7cb7dd601bbbcff8e79fae,4994db00ca55018958dea169991aa24d33720d315c7cb7dd601bbbcff8e79fae
1310003_slot10,PRECEDENCE,True,4994db00ca55018958dea169991aa24d33720d315c7cb7dd601bbbcff8e79fae,4994db00ca55018958dea169991aa24d33720d315c7cb7dd601bbbcff8e79fae
1310003_slot11,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot12,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot13,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310003_slot14,PRECEDENCE,True,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0
1310003_slot15,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310004_slot00,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310004_slot01,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310004_slot02,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310004_slot03,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310004_slot04,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310004_slot05,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
1310004_slot06,PRECEDENCE,True,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0
1310004_slot07,PRECEDENCE,True,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0,08164eeb0aff67e0b7b18cfd68b5cb129abcac4fa01cf02a1fd5a2b7e39bbcf0
1310004_slot08,PRECEDENCE,True,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a,6c5091122b4ba21f1bab7e0fba283060320758429b22b6cf8da337fbb939cc0a
